All Students,Male,Female,General Education Students,Students with Disabilities,American Indian or Alaska Native,Asian or Native Hawaiian/Other Pacific Islander,Black or African American,Hispanic or Latino,White,Multiracial,Economically Disadvantaged,Not Economically Disadvantaged,English Language Learner,NonEnglish Language Learner,Not in Foster Care,Homeless,Not Homeless,Migrant,Not Migrant,Parent Not in Armed Forces
78%,74%,81%,83%,49%,,84%,76%,72%,83%,,75%,82%,63%,79%,78%,65%,78%,,,78%
96%,91%,100%,100%,79%,,100%,,,95%,,90%,100%,,96%,96%,,96%,,96%,96%
95%,94%,96%,98%,56%,,,100%,90%,95%,80%,78%,97%,,,,,,,95%,95%
90%,85%,96%,97%,68%,,60%,,90%,89%,,89%,90%,,,90%,83%,,,90%,90%
84%,86%,83%,87%,65%,,100%,100%,46%,89%,67%,80%,91%,100%,,,80%,84%,,84%,84%
95%,94%,97%,96%,89%,,99%,91%,96%,96%,,91%,98%,86%,95%,,71%,96%,,95%,
94%,91%,97%,98%,74%,,100%,91%,87%,95%,,85%,98%,,94%,94%,,95%,,94%,94%
89%,90%,89%,95%,67%,,,,,,94%,80%,100%,,89%,89%,,89%,,89%,89%
97%,97%,98%,99%,85%,,100%,100%,93%,97%,,94%,98%,100%,,97%,,,,97%,97%
97%,96%,98%,98%,90%,,,,,98%,,83%,98%,,,97%,,97%,,97%,97%
91%,83%,100%,93%,75%,,,87%,,89%,,90%,93%,,90%,91%,,,,91%,91%
100%,100%,100%,,,,,,,,,100%,100%,58%,100%,100%,,100%,,100%,100%
89%,73%,100%,,,,,,,,,89%,89%,,89%,89%,,,,89%,89%
92%,87%,100%,97%,67%,72%,,,,,,85%,100%,,92%,92%,50%,92%,,92%,92%
86%,75%,100%,92%,75%,,,74%,,,76%,92%,78%,,86%,86%,,86%,,86%,86%
76%,75%,78%,,,75%,100%,,,,,64%,100%,100%,76%,76%,,76%,,76%,76%
79%,70%,92%,83%,67%,,,83%,,,,82%,75%,,79%,79%,,79%,,79%,79%
96%,93%,100%,98%,83%,,95%,,,,80%,97%,96%,,,96%,20%,96%,,96%,96%
94%,,,,,,88%,,64%,94%,,90%,100%,,94%,94%,83%,,,94%,94%
92%,93%,92%,98%,71%,,,,,,100%,92%,93%,,92%,92%,80%,,,92%,92%
81%,75%,92%,,,,,81%,,81%,100%,77%,84%,,81%,81%,,81%,,81%,81%
85%,79%,91%,96%,48%,,,81%,100%,84%,89%,74%,90%,49%,85%,85%,,85%,,85%,85%
94%,89%,97%,94%,92%,,,70%,,,,89%,97%,50%,94%,,50%,,,94%,94%
95%,94%,96%,100%,73%,,,,,,,93%,96%,,,95%,,,,95%,95%
76%,71%,81%,80%,57%,83%,,,83%,79%,,65%,95%,,76%,76%,,77%,,76%,76%
80%,73%,90%,94%,38%,,100%,,77%,,,79%,83%,,80%,,,,,80%,80%
89%,85%,98%,94%,72%,,,63%,100%,90%,82%,86%,91%,,,89%,,,,89%,89%
91%,89%,93%,97%,68%,,,,,91%,,82%,96%,,91%,91%,,,,91%,91%
90%,91%,90%,93%,79%,,,,,90%,,83%,95%,,90%,90%,,92%,,90%,
97%,100%,93%,100%,83%,,,,,,,95%,100%,63%,97%,97%,,97%,,97%,97%
86%,87%,84%,92%,67%,,,81%,,,,79%,95%,,,86%,,86%,,,86%
89%,87%,91%,93%,66%,,,,,89%,59%,72%,95%,,,,,89%,,89%,89%
90%,90%,90%,95%,64%,,,,100%,92%,,87%,94%,,90%,90%,,,,90%,90%
94%,91%,97%,96%,78%,,,,,96%,,88%,96%,,,94%,57%,,,94%,94%
94%,91%,97%,97%,64%,,,,,94%,,87%,98%,60%,94%,94%,,96%,,94%,94%
79%,71%,86%,100%,57%,,,,,79%,,,,70%,79%,79%,,79%,,79%,79%
89%,86%,92%,97%,50%,,,,,90%,,81%,92%,60%,89%,,,,,89%,
92%,94%,90%,100%,67%,,,,,,100%,87%,95%,,92%,92%,,92%,,92%,92%
87%,86%,88%,94%,58%,,,,,85%,,88%,86%,,87%,87%,,,,87%,87%
77%,65%,92%,,,,,67%,,,,91%,68%,19%,77%,77%,63%,,,77%,77%
94%,92%,97%,96%,86%,,89%,100%,,,,93%,95%,,94%,94%,,,,94%,94%
79%,73%,86%,86%,56%,,,,,77%,,67%,86%,,79%,79%,,,40%,79%,79%
82%,80%,85%,86%,63%,,,,,85%,,75%,93%,37%,82%,82%,83%,,,82%,82%
96%,95%,97%,98%,85%,67%,,,,96%,,94%,98%,86%,96%,96%,,,,96%,
99%,97%,100%,100%,92%,,,,,98%,,100%,97%,,99%,99%,,,,99%,99%
80%,86%,74%,85%,58%,,,,,85%,69%,77%,83%,50%,,80%,,,,80%,80%
90%,83%,96%,95%,68%,,,,,92%,,92%,88%,62%,90%,90%,,,,90%,
78%,74%,83%,80%,67%,,,,,81%,,64%,89%,82%,,,,79%,,78%,78%
96%,97%,96%,98%,86%,,,79%,,,,92%,98%,40%,96%,96%,,96%,,96%,96%
